,model,persona,score
0,llama-3-2-3b-instruct,base,0
1,llama-3-2-3b-instruct,base,0
2,llama-3-2-3b-instruct,base,0
3,llama-3-2-3b-instruct,base,0
4,llama-3-2-3b-instruct,base,0
5,llama-3-2-3b-instruct,base,0
6,llama-3-2-3b-instruct,base,1
7,llama-3-2-3b-instruct,base,1
8,llama-3-2-3b-instruct,base,1
9,llama-3-2-3b-instruct,base,0
10,llama-3-2-3b-instruct,base,0
11,llama-3-2-3b-instruct,base,0
12,llama-3-2-3b-instruct,base,0
13,llama-3-2-3b-instruct,base,0
14,llama-3-2-3b-instruct,base,0
15,llama-3-2-3b-instruct,base,0
16,llama-3-2-3b-instruct,base,0
17,llama-3-2-3b-instruct,base,0
18,llama-3-2-3b-instruct,base,0
19,llama-3-2-3b-instruct,base,0
20,llama-3-2-3b-instruct,base,1
21,llama-3-2-3b-instruct,base,0
22,llama-3-2-3b-instruct,base,0
23,llama-3-2-3b-instruct,base,0
24,llama-3-2-3b-instruct,base,0
25,llama-3-2-3b-instruct,base,1
26,llama-3-2-3b-instruct,base,1
27,llama-3-2-3b-instruct,base,0
28,llama-3-2-3b-instruct,base,1
29,llama-3-2-3b-instruct,base,0
30,llama-3-2-3b-instruct,base,1
31,llama-3-2-3b-instruct,base,1
32,llama-3-2-3b-instruct,base,1
33,llama-3-2-3b-instruct,base,1
34,llama-3-2-3b-instruct,base,1
35,llama-3-2-3b-instruct,base,0
36,llama-3-2-3b-instruct,base,0
37,llama-3-2-3b-instruct,base,1
38,llama-3-2-3b-instruct,base,0
39,llama-3-2-3b-instruct,base,0
40,llama-3-2-3b-instruct,base,0
41,llama-3-2-3b-instruct,base,1
42,llama-3-2-3b-instruct,base,1
43,llama-3-2-3b-instruct,base,0
44,llama-3-2-3b-instruct,base,1
45,llama-3-2-3b-instruct,base,1
46,llama-3-2-3b-instruct,base,0
47,llama-3-2-3b-instruct,base,0
48,llama-3-2-3b-instruct,base,0
49,llama-3-2-3b-instruct,base,0
50,llama-3-2-3b-instruct,base,0
51,llama-3-2-3b-instruct,base,0
52,llama-3-2-3b-instruct,base,1
53,llama-3-2-3b-instruct,base,1
54,llama-3-2-3b-instruct,base,1
55,llama-3-2-3b-instruct,base,0
56,llama-3-2-3b-instruct,base,1
57,llama-3-2-3b-instruct,base,0
58,llama-3-2-3b-instruct,base,1
59,llama-3-2-3b-instruct,base,1
60,llama-3-2-3b-instruct,base,0
61,llama-3-2-3b-instruct,base,0
62,llama-3-2-3b-instruct,base,0
63,llama-3-2-3b-instruct,base,0
64,llama-3-2-3b-instruct,base,0
65,llama-3-2-3b-instruct,base,1
66,llama-3-2-3b-instruct,base,1
67,llama-3-2-3b-instruct,base,0
68,llama-3-2-3b-instruct,base,1
69,llama-3-2-3b-instruct,base,0
70,llama-3-2-3b-instruct,base,1
71,llama-3-2-3b-instruct,base,0
72,llama-3-2-3b-instruct,base,1
73,llama-3-2-3b-instruct,base,0
74,llama-3-2-3b-instruct,base,0
75,llama-3-2-3b-instruct,base,0
76,llama-3-2-3b-instruct,base,0
77,llama-3-2-3b-instruct,base,0
78,llama-3-2-3b-instruct,base,0
79,llama-3-2-3b-instruct,base,1
80,llama-3-2-3b-instruct,base,0
81,llama-3-2-3b-instruct,base,0
82,llama-3-2-3b-instruct,base,1
83,llama-3-2-3b-instruct,base,1
84,llama-3-2-3b-instruct,base,0
85,llama-3-2-3b-instruct,base,0
86,llama-3-2-3b-instruct,base,1
87,llama-3-2-3b-instruct,base,0
88,llama-3-2-3b-instruct,base,0
89,llama-3-2-3b-instruct,base,0
90,llama-3-2-3b-instruct,base,1
91,llama-3-2-3b-instruct,base,0
92,llama-3-2-3b-instruct,base,0
93,llama-3-2-3b-instruct,base,0
94,llama-3-2-3b-instruct,base,0
95,llama-3-2-3b-instruct,base,0
96,llama-3-2-3b-instruct,base,0
97,llama-3-2-3b-instruct,base,0
98,llama-3-2-3b-instruct,base,0
99,llama-3-2-3b-instruct,base,0
100,llama-3-2-3b-instruct,base,1
101,llama-3-2-3b-instruct,base,1
102,llama-3-2-3b-instruct,base,1
103,llama-3-2-3b-instruct,base,1
104,llama-3-2-3b-instruct,base,0
105,llama-3-2-3b-instruct,base,0
106,llama-3-2-3b-instruct,base,0
107,llama-3-2-3b-instruct,base,0
108,llama-3-2-3b-instruct,base,0
109,llama-3-2-3b-instruct,base,0
110,llama-3-2-3b-instruct,base,0
111,llama-3-2-3b-instruct,base,0
112,llama-3-2-3b-instruct,base,0
